route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,LINE 1 SHUTTLE BUS,,3,,FFFFFF,000000
10,1,10,Van Horne,,3,,ed1c24,ffffff
100,1,100,Flemingdon Park,,3,,ed1c24,ffffff
101,1,101,Downsview Park,,3,,ed1c24,ffffff
102,1,102,Markham Rd,,3,,ed1c24,ffffff
103,1,103,Mount Pleasant North,,3,,ed1c24,ffffff
104,1,104,Faywood,,3,,ed1c24,ffffff
105,1,105,Dufferin North,,3,,ed1c24,ffffff
106,1,106,Sentinel,,3,,ed1c24,ffffff
107,1,107,Alness-Chesswood,,3,,ed1c24,ffffff
108,1,108,Driftwood,,3,,ed1c24,ffffff
109,1,109,Ranee,,3,,ed1c24,ffffff
11,1,11,Bayview,,3,,ed1c24,ffffff
110,1,110,Islington South,,3,,ed1c24,ffffff
111,1,111,East Mall,,3,,ed1c24,ffffff
112,1,112,West Mall,,3,,ed1c24,ffffff
113,1,113,Danforth,,3,,ed1c24,ffffff
114,1,114,Queens Quay East,,3,,ed1c24,ffffff
115,1,115,Silver Hills,,3,,ed1c24,ffffff
116,1,116,Morningside,,3,,ed1c24,ffffff
117,1,117,Birchmount South,,3,,ed1c24,ffffff
118,1,118,Thistle Down,,3,,ed1c24,ffffff
119,1,119,Torbarrie,,3,,ed1c24,ffffff
12,1,12,Kingston Rd,,3,,ed1c24,ffffff
120,1,120,Calvington,,3,,ed1c24,ffffff
121,1,121,Esplanade-River,,3,,ed1c24,ffffff
122,1,122,Graydon Hall,,3,,ed1c24,ffffff
123,1,123,Sherway,,3,,ed1c24,ffffff
124,1,124,Sunnybrook,,3,,ed1c24,ffffff
125,1,125,Drewry,,3,,ed1c24,ffffff
126,1,126,Christie,,3,,ed1c24,ffffff
127,1,127,Davenport,,3,,ed1c24,ffffff
129,1,129,McCowan North,,3,,ed1c24,ffffff
13,1,13,Avenue Rd,,3,,ed1c24,ffffff
130,1,130,Middlefield,,3,,ed1c24,ffffff
131,1,131,Nugget,,3,,ed1c24,ffffff
132,1,132,Milner,,3,,ed1c24,ffffff
133,1,133,Neilson,,3,,ed1c24,ffffff
134,1,134,Progress,,3,,ed1c24,ffffff
135,1,135,Gerrard,,3,,ed1c24,ffffff
14,1,14,Glencairn,,3,,ed1c24,ffffff
149,1,149,Etobicoke-Bloor,,3,,ed1c24,ffffff
15,1,15,Evans,,3,,ed1c24,ffffff
154,1,154,Curran Hall,,3,,ed1c24,ffffff
16,1,16,McCowan,,3,,ed1c24,ffffff
160,1,160,Bathurst North,,3,,ed1c24,ffffff
161,1,161,Rogers Rd,,3,,ed1c24,ffffff
162,1,162,Lawrence-Donway,,3,,ed1c24,ffffff
164,1,164,Castlefield,,3,,ed1c24,ffffff
165,1,165,Weston Rd North,,3,,ed1c24,ffffff
166,1,166,Toryork,,3,,ed1c24,ffffff
167,1,167,Pharmacy North,,3,,ed1c24,ffffff
168,1,168,Symington,,3,,ed1c24,ffffff
169,1,169,Huntingwood,,3,,ed1c24,ffffff
17,1,17,Birchmount,,3,,ed1c24,ffffff
171,1,171,Mount Dennis,,3,,ed1c24,ffffff
184,1,184,Ancaster Park,,3,,ed1c24,ffffff
185,1,185,Sheppard Central,,3,,ed1c24,ffffff
189,1,189,Stockyards,,3,,ed1c24,ffffff
19,1,19,Bay,,3,,ed1c24,ffffff
191,1,191,Underhill,,3,,ed1c24,ffffff
2,1,2,LINE 2 SHUTTLE BUS,,3,,FFFFFF,000000
20,1,20,Cliffside,,3,,ed1c24,ffffff
21,1,21,Brimley,,3,,ed1c24,ffffff
22,1,22,Coxwell,,3,,ed1c24,ffffff
23,1,23,Dawes,,3,,ed1c24,ffffff
24,1,24,Victoria Park,,3,,ed1c24,ffffff
25,1,25,Don Mills,,3,,ed1c24,ffffff
26,1,26,Dupont,,3,,ed1c24,ffffff
28,1,28,Bayview South,,3,,ed1c24,ffffff
29,1,29,Dufferin,,3,,ed1c24,ffffff
3,1,3,SHUTTLE BUS,,3,,FFFFFF,000000
30,1,30,High Park North,,3,,ed1c24,ffffff
300,1,300,Bloor-Danforth,,3,,0054a6,ffffff
301,1,301,Queen,,0,,0054a6,ffffff
302,1,302,Kingston Rd-McCowan,,3,,0054a6,ffffff
304,1,304,King,,0,,0054a6,ffffff
305,1,305,Dundas,,0,,0054a6,ffffff
306,1,306,Carlton,,0,,0054a6,ffffff
307,1,307,Bathurst,,3,,0054a6,ffffff
31,1,31,Greenwood,,3,,ed1c24,ffffff
310,1,310,Spadina,,0,,0054a6,ffffff
312,1,312,St Clair,,0,,0054a6,ffffff
315,1,315,Evans-Brown's Line,,3,,0054a6,ffffff
32,1,32,Eglinton West,,3,,ed1c24,ffffff
320,1,320,Yonge,,3,,0054a6,ffffff
322,1,322,Coxwell,,3,,0054a6,ffffff
324,1,324,Victoria Park,,3,,0054a6,ffffff
325,1,325,Don Mills,,3,,0054a6,ffffff
329,1,329,Dufferin,,3,,0054a6,ffffff
33,1,33,Forest Hill,,3,,ed1c24,ffffff
332,1,332,Eglinton West,,3,,0054a6,ffffff
334,1,334,Eglinton East,,3,,0054a6,ffffff
335,1,335,Jane,,3,,0054a6,ffffff
336,1,336,Finch West,,3,,0054a6,ffffff
337,1,337,Islington,,3,,0054a6,ffffff
339,1,339,Finch East,,3,,0054a6,ffffff
34,1,34,Eglinton East,,3,,ed1c24,ffffff
340,1,340,Junction,,3,,0054a6,ffffff
341,1,341,Keele,,3,,0054a6,ffffff
343,1,343,Kennedy,,3,,0054a6,ffffff
35,1,35,Jane,,3,,ed1c24,ffffff
352,1,352,Lawrence West,,3,,0054a6,ffffff
